id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
17065530,3510,734,37,289,8074,"{'c': 1962, 'c++': 1876, 'makefile': 321, 'objective-c': 5139, 'objective-c++': 11455, 'python': 169619}",Organization,https://api.github.com/repos/facebook/chisel,2019-10-26T20:07:51Z,[],chisel is a collection of lldb commands to assist debugging ios apps
51727325,9367,1570,99,181,8074,{'java': 30445},User,https://api.github.com/repos/laobie/StatusBarUtil,2019-11-07T14:27:05Z,"['android', 'statusbar', 'statusbarutil', 'utils']",a util for setting status bar style on android app
7905539,5782,1638,32,286,8059,"{'assembly': 2468, 'c': 111839, 'cmake': 555, 'java': 165791}",User,https://api.github.com/repos/koral--/android-gif-drawable,2019-12-09T16:34:46Z,"['android', 'animated-gifs', 'drawable', 'gif']",views and drawable for displaying animated gifs on android
2677676,25759,969,375,414,8049,"{'batchfile': 586, 'css': 395485, 'dockerfile': 810, 'html': 465427, 'javascript': 620325, 'makefile': 11001, 'python': 2288771, 'roff': 450, 'ruby': 675, 'shell': 28249}",Organization,https://api.github.com/repos/mailpile/Mailpile,2019-12-19T09:11:39Z,"['e-mail', 'imap-client', 'pgp', 'search-engine', 'security', 'smtp-client', 'tags']",a free open fast email client with user friendly encryption and privacy features
21486287,6630,1248,288,244,8039,"{'javascript': 1198, 'typescript': 70334}",User,https://api.github.com/repos/sahat/satellizer,2019-10-29T13:37:44Z,[],token based angularjs authentication
41676006,494,283,33,114,8029,{'javascript': 2718},User,https://api.github.com/repos/erikras/ducks-modular-redux,2019-12-10T17:13:59Z,[],a proposal for bundling action types and actions when using redux
11621778,56849,1700,320,288,8024,"{'batchfile': 250, 'html': 668, 'javascript': 204120, 'shell': 1255}",User,https://api.github.com/repos/danialfarid/ng-file-upload,2019-05-07T13:48:54Z,[],lightweight angular directive to upload files with optional fileapi shim for cross browser support
99822164,365,301,36,138,8012,"{'dockerfile': 179, 'javascript': 8642}",User,https://api.github.com/repos/aksakalli/gtop,2019-10-31T11:51:07Z,[],system monitoring dashboard for terminal
61993351,63702,3924,4,536,8004,"{'jupyter notebook': 48468835, 'python': 182677}",User,https://api.github.com/repos/Hvass-Labs/TensorFlow-Tutorials,2019-08-26T12:52:37Z,"['deep-learning', 'machine-learning', 'neural-network', 'python-notebook', 'reinforcement-learning', 'tensorflow', 'tutorial', 'youtube']",tensorflow tutorials with youtube videos
21108956,88882,470,367,214,8003,"{'css': 28673, 'html': 24457, 'javascript': 919030, 'python': 8623, 'shell': 15850}",Organization,https://api.github.com/repos/uBlock-LLC/uBlock,2019-12-12T08:53:59Z,"['adblock', 'blocker', 'chrome', 'extension', 'firefox', 'safari', 'safari-extension', 'ublock']",ublock a and lean blocker for and safari
