language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
brainfuck,6,0.0008437631837997469,65086,2.2878147443181304e-06,0.08736145461106021,0.0146,0.0235,0.0027,0.058949967646686946,9.233626762032476e-07
coldfusion,8,0.0011250175783996624,157305,5.5293718826623775e-06,0.08724923164505836,0.0109,0.0123,0.0068,0.03173734010863851,6.020475370714796e-07
nearley,1,0.0001406271972999578,12794,4.4971732536653293e-07,0.08023882244479426,0.08023882244479426,0.08023882244479426,0.08023882244479426,0.08023882244479426,0.08023882244479426
vba,16,0.002250035156799325,382256,1.3436544155487683e-05,0.07651592378882263,0.0048,0.0123,0.0002,0.048328236319215456,1.8707503275566902e-06
apacheconf,5,0.0007031359864997891,45801,1.6099345958349674e-06,0.058972322999264526,0.0118,0.022,0.0008,0.05092149319857003,0.0001245573280207024
webidl,2,0.0002812543945999156,562218,1.9762324154519414e-05,0.057681940653741194,0.0288,0.0004,0.0288,0.029102787125917705,0.02857915352782349
zenscript,1,0.0001406271972999578,1715266,6.029270265844548e-05,0.05665500228038179,0.05665500228038179,0.05665500228038179,0.05665500228038179,0.05665500228038179,0.05665500228038179
aspectj,3,0.00042188159189987344,94102,3.307745798940244e-06,0.05528167786677837,0.0184,0.0293,0.0022,0.05219867546765287,0.0009233184063524307
api blueprint,5,0.0007031359864997891,79723,2.802314704564335e-06,0.05315355827231945,0.0106,0.0177,0.0018,0.042015455046511364,0.0009983156878516947
xbase,2,0.0002812543945999156,8800,3.093256575914874e-07,0.051359613186988874,0.0257,0.0362,0.0257,0.0512441715525599,0.0001154416344289762
supercollider,4,0.0005625087891998312,2101682,7.387547348843095e-05,0.05011631301238603,0.0125,0.0234,0.0012,0.047615637747179126,9.9827396266923e-07
ags script,4,0.0005625087891998312,889407,3.126322785698546e-05,0.049560417431713966,0.0124,0.0157,0.0075,0.0344813588415748,7.513635267699936e-05
processing,9,0.0012656447756996202,192889,6.780172359905046e-06,0.04854303374170914,0.0054,0.0066,0.0043,0.021272527829062735,8.419069558596724e-05
sed,47,0.0066094782730980175,160991,5.658937152421721e-06,0.04146897541639324,0.0009,0.0042,0.0,0.028907464433663647,4.6076925575569914e-07
dtrace,30,0.004218815918998735,3461647,0.00012167911757097722,0.04061972902804694,0.0014,0.0025,0.0002,0.008882739215120233,1.820090160151636e-06
metal,6,0.0008437631837997469,242838,8.535911822522911e-06,0.039759119106490076,0.0066,0.012,0.0015,0.030821238237106384,4.683139841220267e-05
groff,5,0.0007031359864997891,106041,3.727409324620331e-06,0.03731309664659009,0.0075,0.0094,0.0052,0.023613302187539497,0.0005670242699839674
maxscript,7,0.0009843903810997047,167789,5.897891222911145e-06,0.03714669990902905,0.0053,0.0055,0.0056,0.015584422120669177,4.781488182161492e-05
puppet,11,0.001546899170299536,34525,1.213575946402966e-06,0.03661283464901684,0.0033,0.0069,0.0006,0.023483669905879936,3.4794105878464185e-05
openedge abl,7,0.0009843903810997047,290336,1.0205497059372963e-05,0.03151216104095463,0.0045,0.0104,0.0005,0.02797654771247865,4.4773348037753653e-07
mirc script,2,0.0002812543945999156,124666,4.3820900487841325e-06,0.03110333892787304,0.0156,0.0219,0.0156,0.031002930100489358,0.00010040882738368222
liquid,10,0.0014062719729995782,94390,3.3178691840977837e-06,0.031094326062318246,0.0031,0.0061,0.0015,0.020149190620470842,1.6498526314966155e-06
gnuplot,27,0.003796934327098861,151718,5.332985240734691e-06,0.030894089823641308,0.0011,0.0037,0.0001,0.019238350212036626,6.544031860487557e-06
parrot,1,0.0001406271972999578,454926,1.599094137562102e-05,0.02896820009571886,0.02896820009571886,0.02896820009571886,0.02896820009571886,0.02896820009571886,0.02896820009571886
q,4,0.0005625087891998312,338619,1.1902675550905894e-05,0.023421547834197837,0.0059,0.008,0.0029,0.017408967556686618,0.0003069191919802631
lilypond,3,0.00042188159189987344,4475,1.5729912701385295e-07,0.023128154496533968,0.0077,0.0131,0.0003,0.022805964636905037,5.666076650154912e-05
powerbuilder,1,0.0001406271972999578,25949,9.121240328228984e-07,0.021506632917771048,0.021506632917771048,0.021506632917771048,0.021506632917771048,0.021506632917771048,0.021506632917771048
purebasic,5,0.0007031359864997891,13074,4.595595053808075e-07,0.019543876284668676,0.0039,0.008,0.0002,0.01819014191973142,2.1300568651732764e-05
newlisp,10,0.0014062719729995782,100228,3.523078637395409e-06,0.018962276045986402,0.0019,0.0035,0.0004,0.010854666919850162,1.604665505080443e-05
piglatin,8,0.0011250175783996624,14482,5.090516105954455e-07,0.018902328152156783,0.0024,0.0041,0.0005,0.011573284980356603,2.5972050727153363e-06
wdl,1,0.0001406271972999578,389164,1.3679364796697e-05,0.018124571381998335,0.018124571381998335,0.018124571381998335,0.018124571381998335,0.018124571381998335,0.018124571381998335
cap'n proto,7,0.0009843903810997047,31629,1.1117796845410403e-06,0.017718648628028452,0.0025,0.0023,0.0025,0.0062045268141353,1.931967321130535e-05
nextflow,2,0.0002812543945999156,95730,3.364971045594669e-06,0.016800846743753924,0.0084,0.0119,0.0084,0.01678777761646229,1.3069127291634598e-05
forth,14,0.0019687807621994093,845071,2.9704788953010892e-05,0.01667518826833851,0.0012,0.0026,0.0003,0.009723936558947887,3.197572914255164e-06
saltstack,5,0.0007031359864997891,75982,2.670816149445045e-06,0.015812893511936075,0.0032,0.0054,0.0007,0.012722315980786707,9.780915133319146e-05
limbo,6,0.0008437631837997469,106842,3.7555649895897383e-06,0.01569467717175406,0.0026,0.0039,0.0004,0.009394764784635981,4.855460225657448e-06
hiveql,5,0.0007031359864997891,195595,6.875289999614429e-06,0.014917228889496701,0.003,0.0045,0.0001,0.010281043179580342,3.010237685357398e-07
v,5,0.0007031359864997891,26969,9.479776885891845e-07,0.014873482120540502,0.003,0.0061,0.0003,0.01386605976313904,1.2635304118330137e-05
idl,8,0.0011250175783996624,13261,4.6613267560462664e-07,0.01374891227091469,0.0017,0.0028,0.0009,0.008374173288290432,2.2476363672867638e-05
slice,1,0.0001406271972999578,39939,1.4038815271075472e-06,0.011287123172614504,0.011287123172614504,0.011287123172614504,0.011287123172614504,0.011287123172614504,0.011287123172614504
ragel in ruby host,1,0.0001406271972999578,128173,4.505363353462922e-06,0.011255287784658726,0.011255287784658726,0.011255287784658726,0.011255287784658726,0.011255287784658726,0.011255287784658726
abap,3,0.00042188159189987344,9601,3.3748132256089437e-07,0.010671754970903788,0.0036,0.0048,0.0016,0.00902613026787633,6.7345317518925975e-06
cobol,6,0.0008437631837997469,16095,5.657495976062488e-07,0.010161423186317376,0.0017,0.0019,0.001,0.004284462161467441,2.800221102658045e-08
raml,3,0.00042188159189987344,102898,3.6169308539600988e-06,0.00951853367232038,0.0032,0.0045,0.0012,0.008283218556712425,6.449100115033105e-05
jsoniq,4,0.0005625087891998312,19302,6.78477709412601e-07,0.00923319016850557,0.0023,0.0045,0.0001,0.009066855195296963,2.800221102658045e-08
clips,4,0.0005625087891998312,113190,3.978701270770506e-06,0.008934689793397045,0.0022,0.0029,0.0012,0.006491136444132284,0.0001227763180702561
